sentence,translation
"There was a breeze, then the rain followed.","समीरः चलितः, तदनन्तरं वर्षा अभवत्।"
"Like a hunter, she looks around.",व्याधवत् सा परितः दृष्टवती।
She licks her ears and rubs her paws.,सा तस्याः कर्णौ आलिह्य चरणान् घर्षयति।
Then there seemed to be gold in the rock.,तदा एतत् अभिमतं यत् प्रस्तरे सुवर्णम् अस्ति इति।
"They do not stop or give up, and instead continue to go ahead.","ते न तिष्ठन्ति न च त्यजन्ति, अपितु अनारतम् अग्रे गच्छन्ति।"
"Hence, they never stop, going on all day seemingly forever.","अतएव ते कदापि नैव अतिष्ठन्, आदिनम् अनारतं चलितवन्तः।"
The digging in the middle of the tunnel does not stop.,सुरङ्गस्य मध्ये खननं न स्थगितम्।
"Even when one rabbit stops to rest, others take over and continue the process.","यदा एकः शशकः विश्रामं कर्तुं तिष्ठति, तदा अन्ये अग्रे गत्वा प्रक्रियां चालयन्ति।"
"If it rains heavily, how can they continue?","यदि घनवर्षा भवति, तर्हि तैः कथम् अनुवर्तनीयम्?"
Then they will have to stay home.,तर्हि तैः गृहे स्थातव्यं भविष्यति।
It rains.,वर्षा भवति।
What should I do next?,अग्रे मया किं कर्तव्यम्?
The day is ending.,दिवसः समाप्तः भवति।
Sun is sinking and the moon is becoming visible.,"सूर्यः अस्तङ्गच्छति, चन्द्रः च दृश्यमानः भवति।"
"So, the rabbit has to take shelter and go to sleep.","तर्हि, शशकः आश्रयं स्वीकृत्य निद्रां कुर्यात्।"
It is still so dark.,इतोऽपि एतावान् अन्धःकारः अस्ति।
I woke up from my sleep to see the next bright day.,अहम् अग्रिमम् उज्ज्वलं दिवसं द्रष्टुं निद्रातः उत्थितवान्।
I wonder why you hardly ever see that in real life.,अहं चकितः भवामि यत् भवान् कथं कदाचित् एतत् वास्तविके जीवने पश्यति इति।
I told my friends about my dream.,अहं मम मित्रेषु मम स्वप्नविषये उक्तवान्।
The sun rises and falls in a seemingly endless cycle.,सूर्यस्य उदयास्तम् अनारतं चक्रवत् भवति।
"Finally, there is no more moon for us to see.",अन्ततः अस्माकं कृते द्रष्टुं चन्द्रः नास्ति।
Where did the moon go?,चन्द्रः कुत्र गतवान्?
What is left but a tree containing endless fruit?,सततं फलदायिनं वृक्षं विना किम् अवशिष्टम्?
"Yes please, let's do it!","आम्, कृपया एतत् कुर्म!"
"Okay, if you think that is the best path.","बाढम्, यदि भवान् चिन्तयति यत् एषः सर्वोत्तमः मार्गः अस्ति।"
The bird seems to be flying upside down.,एवं भाति यत् खगः विपरीतम् उप्ततति।
I don't see why that tree needs to be so tall.,अहं न पश्यामि यत् सः वृक्षः किमर्थम् एतावान् उन्नतः भवितुम् अपेक्षितः इति।
I often lose myself in the beauty of the forest.,प्रायः अहं वनस्य सुन्दरतायाम् आत्मानं विस्मरामि।
"Since we last walked here, the tree has grown by quite a lot.","यदा वयम् अन्तिमवारम् अत्र आगतवन्तः, ततः एषः वृक्षः अतीव उन्नतः जातः।"
"However, it would be a lot more interesting to just jump in ourselves.",वस्तुतः अस्माकं स्वयमेव कूर्दनम् अधिकम् आकर्षकं भवेत्।
This is basically the way trees grow.,मूलतः एषः एव वृक्षवर्धनस्य विधिः।
Put in a good word for me.,मम कृते एकम् उत्तमं शब्दं स्थापयतु।
We will be together until the end.,वयम् अन्तपर्यन्तं सहैव भविष्यामः।
I love late night walks.,मह्यं रात्रौ विलम्बेन भ्रमणं रोचते।
Will you love me forever?,किं भवान् सर्वदा मयि स्नेहं करिष्यति?
She loves the color of the sky in the early morning.,तस्यै प्रातःकालीनः आकाशस्य वर्णः रोचते।
"The tree has black leaves, long, slender, and beautiful.","वृक्षस्य पर्णानि कृष्णवर्णीयानि, क्षामाणि, सुन्दराणि च सन्ति।"
Flowers roses grew all around the house.,गृहं परितः पाटलपुषापणि आसन्।
Look at that clear blue sky!,स्वच्छं नीलाकाशं पश्यतु।
Purple flowers everywhere!,सर्वत्र धूमलवर्षिपुष्पाणि सन्ति।
"The way he moved, he made it look so easy.","यथा सः चलितः, तेन तत् बहुसरलं दृष्टम्।"
The rain was falling down hard.,बहुतीव्रं जलं वर्षते स्म।
How high can trees grow amongst other trees in the forest?,अन्येभ्यः वृक्षेभ्यः वने वृक्षाः कीयन्तः उन्नताः भवितुं शक्नुवन्ति?
Lower your voice.,ध्वनिः नीचैः भवतु भवतः।
I was living on a big piece of land when I was young.,अहं यदा युवा आसं तदा एकस्मिन् विस्तृते क्षेत्रे वसामि स्म।
That tree is pretty darn big.,सः वृक्षः अतीव उन्नतः अस्ति।
My imagination runs wild sometimes.,मम चिन्तनं कदाचित् अद्भुतं भवति।
The forest was full of wild flowers.,वनं वन्यपुष्पैः पूर्णम् आसीत्।
The lake is calm today.,तडागः अद्य शान्तः अस्ति।
Sitting still helps me stay calm when I am having a bad day.,यदा मम दिवसः अनुत्तमः भवति तदा उपवेशनम् अद्यापि मां शान्तं कर्तुं सहायकं भवति।
We wanted to get closer to the wild animals because they were so beautiful.,वयं वन्यपशूनाम् अधिकं निकटं गन्तुम् ऐच्छम् यतः ते अतीव मनोहराः आसन्।
Don't stand so close to the fire.,एतावत् अग्निं निकषा न तिष्ठतु।
The storm is far away from here thankfully.,धन्यवादोऽस्ति यत् चण्डवातः इतः दूरे अस्ति।
This is the oldest tree on the land.,भूमौ एषः पुरातनतमः वृक्षः अस्ति।
This forest is full of very old trees.,एतत् वनं पुरातनवृक्षैः पूर्णम् अस्ति।
"The season is currently changing, as you can see since the leaves are getting brown.",पर्णानि पिङ्गलीभवन्ति भवान् द्रष्टुं शक्नोति अतः साम्प्रतम् ऋतुः परिवर्तमानः अस्ति।
It was as hard as rock.,तत् पाषाणवत् कठोरम् आसीत्।
Sun is a huge source of energy.,सूर्यः ऊर्जायाः महान् स्रोतः अस्ति।
She felt energy rushing through her.,सा आत्मनि ऊर्जां प्रवहन्तीम् अनुभवति।
"If you follow this dirt path that way, you will reach a small forest.",भवान् एनम् अवकरपूर्णं मार्गम् अनुसरति चेत् भवान् एकं लघुवनं प्राप्स्यति।
I have good feeling about this.,एदद्विषये मयि उत्तमाः भावनाः सन्ति।
My father is a really good man.,मम पिता वस्तुतः सज्जनः अस्ति।
What is your sibling's name?,भवतः सहोदरस्य नाम किम्?
"Go to sleep, sweet child.","प्रिय वत्स, शयनं करोतु।"
Family matters.,पारिवारिकः विषयः।
Welcome to our small but loving family.,अस्माकं लघौ परन्तु स्नेहमये परिवारे स्वागतम्।
"Peace be with you, friend.","मित्र, भवता सह शान्तिः भवतु।"
"One kiss, one hug and one smile is all that it takes.",तत्कृते एकं चुम्बनम् एकं परिष्वजनम् एकं च स्मितहास्यम् एव अलम्।
For two years I dreamed of climbing that mountain.,वर्षद्वयम् यावत् अहं तस्य पर्वतस्य आरोहनस्य स्वप्नम् अपश्यत्।
Knock three times.,त्रिवारं शब्दापयतु।
Where is your favorite place?,भवतः प्रियं स्थानं कुत्र अस्ति?
"He jumped around the field, trying to catch a butterfly.",चित्रपतङ्गं गृहीतुं प्रयतमानः सः क्षेत्रं परितः सर्वत्र कूर्दितवान्।
We need to dig a hole and plant this seed.,अस्माभिः छिद्रं खनित्वा एतत् बीजं वपनीयम्।
Do you have a plan for the adventure?,किं भवत्समीपं साहसाय योजना अस्ति?
I could hear interesting sounds like a song traveling through the night across the beautiful sea.,मनोरमे समुद्रे यात्रां कुर्वन् अहं गीतानि इव आकर्षकान् ध्वनीन् श्रोतुम् अशक्नुवम्।
"If you look carefully around you, you will find beauty everywhere.",यदि भवान् भवन्तं परितः पश्यति तर्हि भवान् सर्वत्र सौन्दर्यं द्रक्ष्यति।
Who do you see in the lake?,भवान् तडागे कं पश्यति?
Come and find me.,आगत्य मां प्राप्नोतु।
Find your true path.,भवतः योग्यं मार्गं प्राप्नोतु।
She could not resist the call of the wild.,वन्य-आह्वानस्य सा विरोधं कर्तुं नाशक्नोत्।
Call me tomorrow.,श्वः माम् आह्वयतु।
I hope so too.,अहमपि तथैव आशासे।
"Aside from being pretty, this flower is also rare.","एतत् पुष्पं सुन्दरं तु अस्ति एव, तथैव दुर्लभम् अपि।"
Rain is falling once again.,पुनः वर्षा भवति।
"We must leave, otherwise we will snowed in.","अस्माभिः गन्तव्यम्, अन्यता अस्मासु हिमपातः स्यात्।"
"It is very cold outside, hence I am wearing a coat.",बहिः अतीव शैत्यम् अस्ति अतः मया कोटः परिधृतः।
This was a rich forest a while ago.,पुरा एतत् समृद्धं वनम् आसीत्।
Go straight ahead and you will find it.,साक्षात् गत्वा भवान् तत् प्राप्स्यति।
She was hiding behind the giant bush.,विशालस्य गुल्मस्य पार्श्वे सा निलीना आसीत्।
Birds are flying over the land.,भूमेः उपरि खगाः उड्डयन्ते।
I will plant a tree right here.,अहम् अत्रैव एकं वृक्षम् आरोपयामि।
There are many animals in this forest.,अस्मिन् वने अनेके पशवः सन्ति।
What is all this?,किम् एतत् सर्वम्?
This is totally my favorite place.,एतत् पूर्णतया मम प्रियं क्षेत्रम्।
May I have some water please?,कृपया अहं किञ्चित् जलं प्राप्तुं शक्नोमि वा?
How long will this storm last?,एषः चञ्डवातः कीयत्कालपर्यन्तं भवेत्?
"In the middle of the forest, you can see an old log rotting away into the ground.",वनस्य मध्ये भवान् एकं पुरातनं वृत्तालेखं क्लेदयन्तं द्रष्टुं शक्नोति।
Sunrise is one of the beautiful parts of the day.,दिवसस्य सुन्दरविभागेषु सूर्योदयः अन्यतमः।
Let's stay here for an hour longer.,एकहोरायावत् अत्रैव तिष्ठाम।
Every year I go and walk by the lake.,प्रतिवर्षम् अहं सरोवरं गत्वा भ्रमणं करोमि।
The bird is still sitting still on the branch.,खगः इदानीमपि तथैव शाखायाम् उपविष्टः अस्ति।
Don't wander off too far.,अतिदूरं न भ्रमतु।
Tell me if you can see the moon tonight.,यदि भावन् अद्य रात्रौ चन्द्रं द्रक्ष्यति तर्हि मां वदतु।
I was eating the fruit but then I decided that I want to eat something else.,"अहं फलं खादन् आसम्, परन्तु तदा मया निश्चितं यत् अहं इतोऽपि अधिकं खादितुम् इच्छामि इति।"
Who planted the big tree over there?,तत्र सः महावृक्षः केन आरोपितः?
What will happen to the grass when winter comes?,यदा शैत्यम् आगच्छेत् तदा तृणस्य किं भवेत्।
I know where bunnies hide.,अहं जानामि यत् शशकाः कुत्र निलीनाः भवन्ति।
I always wondered why water has no taste.,अहं सर्वदा चिन्तयामि स्म यत् जलं किमर्थं रुचिहीनम्।
How did you sleep?,भवान् कथं शयनं कृतवान्?
Sometimes I like to travel far away from home.,कदाचित् मह्यं गृहात् बहिः भ्रमणं रोचते।
Love is not just a word.,स्नेहं शब्दमात्रं नास्ति।
"We must take care of this planet, to be honest.",प्रामाणिकतया अस्माभिः अस्य ग्रहस्य रक्षणं करणीयम् एव।
If I plant five trees maybe at least one will grow.,यदि भवान् पञ्चवृक्षान् आरोपयति तर्हि कदाचित् एकः वर्धेत।
I never saw such wonderful river in my entire life.,अहं कदापि एतावतीम् अद्भुतां नदीं मम जीवने न दृष्टवान्।
"Over time, nature healed, and grass, trees and animals replaced the bare dirt.","यथासमयं प्रकृतिः पुनरवस्थिता। तृणं, वृक्षाः, पशवः च अवकरस्य स्थाने पुनर्स्थापिताः।"
Sundown is another beautiful part of my day.,सूर्यास्तः मम दिनस्य अन्यतमः सुन्दरः भागः अस्ति।
I like to sit down on soft and bright green grass.,मह्यं मृदुनि हरिते च तृणे उपवेशनं रोचते।
Snow was falling all night and in the morning everything was white.,"आरात्रं हिमपातः अभवत्, तेन प्रातः सर्वं शुभ्रम् अभवत्।"
Oceans are just too big!,महासागराः अतीव महान्तः सन्ति।
"Seven years ago, I saw a huge owl right there.",सप्तवर्षेभ्यः पूर्वम् अहं तत्र एकं महान्तम् उलूकं दृष्टवान्।
We like swimming in the river.,अस्मभ्यं नद्यां तरणं रोचते।
Stars shine bright tonight.,रात्रौ तारिकाः उज्ज्वलं प्रकाशन्ते।
A little wolf is playing with the wooden stick.,एकः लघुवृकः काष्ठदण्डेन क्रीडति।
Sand on this beach is totally black.,अस्मिन् तटे सम्पूर्णा वालुका कृष्णवर्णीया अस्ति।
"The light in the sky was blue and green, moving slowly, like magic.",इन्द्रजालम् इव आकाशस्थौ नीलहरितौ वर्णौ मन्दमन्दं चलतः।
I can see the trees growing along the shore.,अहं तटे वृक्षान् वर्धमानां द्रष्टुं शक्नोमि।
"The air is crisp and fresh, and the night sky is clear.",वायुः शुष्कः प्रत्यग्रः च अस्ति तथैव च रात्रौ आकाशः स्वच्छः अस्ति।
There is one last leaf left hanging from the barren tree.,शुष्के वृक्षे अन्तिमं पर्णं लम्बमानं वर्तते।
This summer my family is going on a long walk around the lake.,अस्मिन् ग्रीष्मे मम परिवारः सरोवरं परितः दीर्घभ्रमणाय गमिष्यति।
One of his eyes was purple and the other one was blue.,तस्य एकं नेत्रं धूमलम् अपरं च नीलवर्णीयम् आसीत्।
It seems like it used to rain almost every day when I was a child.,यदा अहं बालकः आसम् तदा प्रतिदिनं वर्षा भवति स्म इति भाति।
The sea covers a larger part of the earth.,समुद्रेण पृथ्व्याः विस्तीर्णं क्षेत्रं व्याप्तम्।
"The bushes surround the forest, creating a boundary that protects the landscape.",वनं परितः वनं सीमितं कुर्वन्तः गुल्माः परिदृश्यस्य रक्षणं कुर्वन्ति।
The bees love to suck on the nectar of flowers.,पुष्पेभ्यः मकरन्दस्य सेवनं मधुमक्षिकाभ्यः रोचते।
"These type of red rocks are rarely found, you have to be extremeley patient while digging.",एतादृशाः रक्तपाषाणाः दुर्लभाः सन्ति अतः खननसमये भवता धैर्यम् आचरणीयम्।
Ocean waves were very high that day years back.,वर्षेभ्यः पुरा महासागरस्य तरङ्गाः बहून्नताः भवन्ति स्म।
"Dark clouds part, allowing the suns rays to enter once again.",पुनः सूर्यकिरणान् भावयन्तः मेघाः अपसन्ति।
Sunshine in the northern part of the country seems a lot different from the south.,देशस्य उत्तरभागे सूर्यप्रकाशः दक्षिणभागात् भिन्नः इव भाति।
Shrubs are pretty much always seen growing all over the forest floor.,वनस्य तले गुल्माः सर्वदा प्राचुर्येण प्रभवन्तः दृश्यन्ते।
Did you ever climb up that super tall hill behind that one tree?,तस्य वृक्षस्य पार्श्वे विद्यमानस्य शैलस्य आरोहनं भवता अद्यापि कृतं किम्?
"It's too far, we cannot walk there now, it's too late.",तत् अतिदूरम्। वयं इदानीं तत्पर्यन्तं चलितुं न शक्नुमः। इदानीम् अतिविलम्बः जातः।
"I like making this place mine, keeping it clean and fresh for anyone who comes by.","मह्यम् अस्य स्थानस्य आत्मीकरणं रोचते, तथैव च यः कोऽपि आगच्छेत् तस्य कृते स्वच्छं प्रत्यग्रं च कर्तुम् अपि रोचते।"
"Look, the fire is blue right now, that is so cool!","पश्यतु, अधुना अग्निः नीलः अस्ति। तत् कीयत् रोचकम्!"
Have you ever tried making a fire all on your own?,भवता स्वयमेव कदाचित् अग्नेः प्रज्वालनस्य प्रयत्नः कृतः वा?
"You never actually see trees growing, they grow too slowly.",वस्तुतः भवान् कदापि वृक्षान् वर्धमानान् न दृष्टवान्। ते अतीव मन्दगत्या वर्धन्ते।
And so I kept dreaming like it was real life.,अतः अहं सर्वदा स्वप्नं दृष्टवान् यत् एतत् वास्तविकं जीवनं स्यात्।
