sentence,hanzi,pinyin
We argued about the forest versus the river.,我们争论是森林还是河流。,wǒ mén zhēng lùn shì sēn lín hái shì hé liú 。
"Tomorrow morning, I will have traveled via boat.",明天早上，我将坐船旅行。,míng tiān zǎo shàng ， wǒ jiāng zuò chuán lǚ háng 。
"If I were with him, I would annoy him.",如果我和他在一起，我会惹恼他的。,rú guǒ wǒ hé tā zài yī qǐ ， wǒ huì rě nǎo tā de 。
There was a wild animal deep within the cave.,山洞深处有一只野兽。,shān dòng shēn chù yǒu yī zhī yě shòu 。
I shouldn't have left without eating first.,我不该不先吃东西就走的。,wǒ bù gāi bù xiān chī dōng xī jiù zǒu de 。
"If you had taken another step, I would have laughed. ",如果你再往前走一步，我就会笑了。,rú guǒ nǐ zài wǎng qián zǒu yī bù ， wǒ jiù huì xiào le 。
Any of the animals could have done this.,任何动物都有可能这么做。,rèn hé dòng wù dōu yǒu kě néng zhè me zuò 。
She used to love anyone who gave her food.,她以前喜欢给她食物的人。,tā yǐ qián xǐ huān gěi tā shí wù de rén 。
Does he think I had anything to do with that?,他觉得我跟这事有关吗?,tā jiào dé wǒ gēn zhè shì yǒu guān ma ?
"If you could go anywhere, where would you go?",如果你可以去任何地方，你想去哪里?,rú guǒ nǐ kě yǐ qù rèn hé dì fāng ， nǐ xiǎng qù nǎ lǐ ?
Both of us should dance instead of one.,我们两个都应该跳舞，而不是一个。,wǒ mén liǎng gè dōu yìng gāi tiào wǔ ， ér bù shì yī gè 。
Please be certain before you run there.,在你跑过去之前，请弄清楚。,zài nǐ pǎo guò qù zhī qián ， qǐng nòng qīng chǔ 。
Each child should give and receive one gift.,每个孩子应该送和接受一件礼物。,měi gè hái zǐ yìng gāi sòng hé jiē shòu yī jiàn lǐ wù 。
I thought she was either one or two years old.,我以为她不是一岁就是两岁。,wǒ yǐ wéi tā bù shì yī suì jiù shì liǎng suì 。
This is more than enough for her birthday.,这对她的生日来说已经足够了。,zhè duì tā de shēng rì lái shuō yǐ jīng zú gòu le 。
She waited for us every day that we were gone.,我们走后，她每天都在等我们。,wǒ mén zǒu hòu ， tā měi tiān dōu zài děng wǒ mén 。
He will say everyone has water if you ask.,如果你问他，他会说每个人都有水。,rú guǒ nǐ wèn tā ， tā huì shuō měi gè rén dōu yǒu shuǐ 。
Everything in the forest is green today.,今天森林里的一切都是绿色的。,jīn tiān sēn lín lǐ de yī qiē dōu shì lǜ sè de 。
Has she been everywhere in the world?,她到过世界各地吗?,tā dào guò shì jiè gè dì ma ?
There are few people I do not know here.,这里我不认识的人很少。,zhè lǐ wǒ bù rèn shí de rén hěn shǎo 。
This is the last time I will ever climb this tree.,这是我最后一次爬这棵树。,zhè shì wǒ zuì hòu yī cì pá zhè kē shù 。
She will expect at least five gifts tomorrow.,她明天至少会收到五份礼物。,tā míng tiān zhì shǎo huì shōu dào wǔ fèn lǐ wù 。
Why do I have less water than she does?,为什么我的水比她的少?,wéi shén me wǒ de shuǐ bǐ tā de shǎo ?
There is little that he cannot do.,他没有做不到的事。,tā méi yǒu zuò bù dào de shì 。
I have many doubts about your new plan.,我对你的新计划有许多怀疑。,wǒ duì nǐ de xīn jì huá yǒu xǔ duō huái yí 。
She climbs trees more than he does. ,她爬树比他多。,tā pá shù bǐ tā duō 。
That is the most pleased I've ever seen you.,这是我见过你最高兴的一次。,zhè shì wǒ jiàn guò nǐ zuì gāo xìng de yī cì 。
Much of my life has been full of happiness.,我的生活充满了快乐。,wǒ de shēng huó chōng mǎn le kuài lè 。
Neither person had seen the mountains before.,两个人以前都没有见过这些山。,liǎng gè rén yǐ qián dōu méi yǒu jiàn guò zhè xiē shān 。
We cannot find the tree that is next to the river.,我们找不到河边的那棵树。,wǒ mén zhǎo bù dào hé biān de nà kē shù 。
There are no leaves on the trees this year.,今年树上没有叶子。,jīn nián shù shàng méi yǒu yè zǐ 。
None of my friends are at home right now.,我的朋友现在都不在家。,wǒ de péng yǒu xiàn zài dōu bù zài jiā 。
Nothing is wrong with eating fruit.,吃水果没有什么错。,chī shuǐ guǒ méi yǒu shén me cuò 。
The forest is nowhere near the sea!,森林离海远着呢!,sēn lín lí hǎi yuǎn zhe ne !
We had only seen the forest once before.,我们以前只见过那片森林一次。,wǒ mén yǐ qián zhī jiàn guò nà piàn sēn lín yī cì 。
Hopefully several people show up today.,希望今天有几个人来。,xī wàng jīn tiān yǒu jǐ gè rén lái 。
It takes some courage to climb such a tall tree.,爬这么高的树需要一定的勇气。,pá zhè me gāo de shù xū yào yī dìng de yǒng qì 。
"If somebody wants food, we will go to the forest.",如果有人想要食物，我们就去森林。,rú guǒ yǒu rén xiǎng yào shí wù ， wǒ mén jiù qù sēn lín 。
Is there something he wanted to say to them?,他有什么想对他们说的吗?,tā yǒu shén me xiǎng duì tā mén shuō de ma ?
They will find a home somewhere around here.,他们会在这附近找到一个家。,tā mén huì zài zhè fù jìn zhǎo dào yī gè jiā 。
That is exactly what I am talking about!,这就是我想说的!,zhè jiù shì wǒ xiǎng shuō de !
"Whatever your favorite color is, mine is as well.",无论你最喜欢什么颜色，我的也一样。,wú lùn nǐ zuì xǐ huān shén me yán sè ， wǒ de yě yī yàng 。
She wouldn't remember which tree we visited.,她不会记得我们去过哪棵树。,tā bù huì jì dé wǒ mén qù guò nǎ kē shù 。
I will eat bread or fruit: whichever you prefer.,我吃面包或水果，随你喜欢。,wǒ chī miàn bāo huò shuǐ guǒ ， suí nǐ xǐ huān 。
A river flows through the valley.,一条河穿过山谷。,yī tiáo hé chuān guò shān 谷 。
The setting sun reflecting off the water lights up the area with golden light.,落日在水面上反射出金色的光芒，照亮了这个地区。,luò rì zài shuǐ miàn shàng fǎn shè chū jīn sè de guāng máng ， zhào liàng le zhè gè dì qū 。
I sat on the rock and watched the sunset through the window.,我坐在岩石上，透过窗户看日落。,wǒ zuò zài yán shí shàng ， tòu guò chuāng hù kàn rì luò 。
He spent last time on a mountain.,他上次是在一座山上度过的。,tā shàng cì shì zài yī zuò shān shàng dù guò de 。
The moon was appearing behind the clouds at the dark of midnight. ,在漆黑的午夜，月亮出现在云层后面。,zài qī hēi de wǔ yè ， yuè liàng chū xiàn zài yún céng hòu miàn 。
A fresh layer of snow covered the path.,一层新雪覆盖了小路。,yī céng xīn xuě fù gài le xiǎo lù 。
The moon dangles low and large in the dark sky.,月亮在黑暗的天空中大而低地悬荡着。,yuè liàng zài hēi àn de tiān kōng zhōng dà ér dī de xuán dàng zhe 。
"The sun rose bright and fair, and the morning was without a cloud.",太阳升起来了，阳光明媚，早晨万里无云。,tài yáng shēng qǐ lái le ， yáng guāng míng mèi ， zǎo chén wàn lǐ wú yún 。
"At sunset, the sky shaded from pink into dark red.",日落时，天空由粉红色逐渐变成深红色。,rì luò shí ， tiān kōng yóu fěn hóng sè zhú jiàn biàn chéng shēn hóng sè 。
Birds are singing in the tree.,鸟儿在树上唱歌。,niǎo ér zài shù shàng chàng gē 。
The bird landed gracefully on the water.,那只鸟优雅地降落在水面上。,nà zhī niǎo yōu yǎ de jiàng luò zài shuǐ miàn shàng 。
The grass was covered with frost in the early morning.,清晨，草地上覆盖着一层霜。,qīng chén ， cǎo dì shàng fù gài zhe yī céng shuāng 。
"The gentle rain was over, but drops were still falling from the trees.",小雨停了，但树上仍有雨滴滴落。,xiǎo yǔ tíng le ， dàn shù shàng réng yǒu yǔ dī dī luò 。
The rainbow formed a beautiful arc in the sky.,彩虹在天空中形成一道美丽的弧线。,cǎi hóng zài tiān kōng zhōng xíng chéng yī dào měi lì de hú xiàn 。
That wide-eyed innocent look reminded him of a newborn baby.,那双天真的大眼睛使他想起了一个新生婴儿。,nà shuāng tiān zhēn de dà yǎn jīng shǐ tā xiǎng qǐ le yī gè xīn shēng yīng ér 。
The leaves were floating gently down the river.,树叶沿着河流轻轻飘落。,shù yè yán zhe hé liú qīng qīng piāo luò 。
She brought a handful of fruit from the forest.,她从森林里带来一把水果。,tā cóng sēn lín lǐ dài lái yī bǎ shuǐ guǒ 。
The air around him was cold like it was being iced.,他周围的空气冷得像结冰了一样。,tā zhōu wéi de kōng qì lěng dé xiàng jié bīng le yī yàng 。
The bee came to dance on the flower.,蜜蜂来在花上跳舞。,mì fēng lái zài huā shàng tiào wǔ 。
Allow in a cool night breeze.,让凉爽的晚风吹进来。,ràng liáng shuǎng de wǎn fēng chuī jìn lái 。
I have many far-off friends whom I never seen.,我有许多远方的朋友，我从未见过他们。,wǒ yǒu xǔ duō yuǎn fāng de péng yǒu ， wǒ cóng wèi jiàn guò tā mén 。
I was glad to go back to the village to see my home and friends once more.,我很高兴能回到村子里再一次见到我的家和朋友们。,wǒ hěn gāo xìng néng huí dào cūn zǐ lǐ zài yī cì jiàn dào wǒ de jiā hé péng yǒu mén 。
"He has two younger siblings, a brother and a sister.",他有一个弟弟和一个妹妹。,tā yǒu yī gè dì dì hé yī gè mèi mèi 。
Mom placed a pot of brightly colored flowers on the table.,妈妈在桌子上放了一盆色彩鲜艳的花。,mā mā zài zhuō zǐ shàng fàng le yī pén sè cǎi xiān yàn de huā 。
She returned to the meadow and sat down on the grass.,她回到草地上，坐在草地上。,tā huí dào cǎo dì shàng ， zuò zài cǎo dì shàng 。
"There was a small interesting rock beside the tree, on which there was a frog.",树旁边有一块有趣的小石头，上面有一只青蛙。,shù páng biān yǒu yī kuài yǒu qù de xiǎo shí tóu ， shàng miàn yǒu yī zhī qīng wā 。
He used to go out with his friends every night.,他以前每天晚上都和朋友们出去。,tā yǐ qián měi tiān wǎn shàng dōu hé péng yǒu mén chū qù 。
"Across the way, warm sun light showed through the dense forest.",在路的对面，温暖的阳光透过浓密的森林照射进来。,zài lù de duì miàn ， wēn nuǎn de yáng guāng tòu guò nóng mì de sēn lín zhào shè jìn lái 。
The way a butterfly flutters from flower to flower is graceful.,蝴蝶在花丛中翩翩起舞，姿态优美。,hú dié zài huā cóng zhōng piān piān qǐ wǔ ， zī tài yōu měi 。
The flowers this year which bloomed in the early spring have stayed abundant.,今年早春时节开的花一直很茂盛。,jīn nián zǎo chūn shí jié kāi de huā yī zhí hěn mào shèng 。
He waded out of the water and laid his socks and shirt on a rock in the sun to dry.,他涉水而出，把袜子和衬衫放在石头上晒干。,tā shè shuǐ ér chū ， bǎ wà zǐ hé chèn shān fàng zài shí tóu shàng shài gàn 。
Our last halt was under a wild berry push a short distance from the lake.,我们的最后一站是在离湖不远的一个野生浆果区下面。,wǒ mén de zuì hòu yī zhàn shì zài lí hú bù yuǎn de yī gè yě shēng jiāng guǒ qū xià miàn 。
"She looked up at the glowing clouds, from which snow had begun to fall again.",她抬头望着发光的云，天上又开始下雪了。,tā tái tóu wàng zhe fā guāng de yún ， tiān shàng yòu kāi shǐ xià xuě le 。
Fruits of great variety are grown in the valley and foothills.,山谷和丘陵地带生长着种类繁多的水果。,shān gǔ hé qiū líng dì dài shēng zhǎng zhe zhǒng lèi fán duō de shuǐ guǒ 。
The country has a beautiful sandy beach.,这个国家有美丽的沙滩。,zhè gè guó jiā yǒu měi lì de shā tān 。
She tossed her head back to stare at the stars.,她仰起头来盯着天上的星星。,tā yǎng qǐ tóu lái dīng zhe tiān shàng de xīng xīng 。
He was living on the hilltop with a flock of two hundred elk.,他和200头麋鹿住在山顶上。,tā hé 2 0 0 tóu mí lù zhù zài shān dǐng shàng 。
The little boy was halfway to the lake when mom spoke to him.,妈妈跟小男孩说话的时候，小男孩正要去湖边。,mā mā gēn xiǎo nán hái shuō huà de shí hòu ， xiǎo nán hái zhèng yào qù hú biān 。
A single gentle rain makes the grass many shades greener.,一场细雨，草就绿了许多。,yī chǎng xì yǔ ， cǎo jiù lǜ le xǔ duō 。
"There was nothing dangerous about the forest, except snakes and insects.",除了蛇和昆虫，森林里没有什么危险。,chú le shé hé kūn chóng ， sēn lín lǐ méi yǒu shén me wēi xiǎn 。
"Below the falls, a large beautiful rainbow gave color to the rising mist.",瀑布下面，一道美丽的大彩虹为升起的薄雾增色。,pù bù xià miàn ， yī dào měi lì de dà cǎi hóng wéi shēng qǐ de báo wù zēng sè 。
Everything is ready for the forest walk.,森林漫步的一切都准备好了。,sēn lín màn bù de yī qiē dōu zhǔn bèi hǎo le 。
He smelled the fragrance of wildflowers while walking on a path that led to the pond.,他走在通往池塘的小路上，闻到了野花的香味。,tā zǒu zài tōng wǎng chí táng de xiǎo lù shàng ， wén dào le yě huā de xiāng wèi 。
The desert was basking in an orange sunset when they finally stopped.,当他们终于停下来时，沙漠正沐浴在橙黄色的日落中。,dāng tā mén zhōng yú tíng xià lái shí ， shā mò zhèng mù yù zài chéng huáng sè de rì luò zhōng 。
The birds flew to their nests in the evening.,晚上鸟儿飞回巢里去了。,wǎn shàng niǎo ér fēi huí cháo lǐ qù le 。
"Water was dripping from the trees, and the land was wet.",水从树上滴下来，土地是湿的。,shuǐ cóng shù shàng dī xià lái ， tǔ dì shì shī de 。
Snow crunched under her feet and quickly soaked her gear.,雪在她脚下嘎吱作响，很快就浸湿了她的装备。,xuě zài tā jiǎo xià gǎ zhī zuò xiǎng ， hěn kuài jiù jìn shī le tā de zhuāng bèi 。
It was at the beginning of winter.,那是在初冬时节。,nà shì zài chū dōng shí jié 。
"Nature was at her peak, blending the wild blooms with various shades of green.",大自然正处于鼎盛时期，把野花和深浅不一的绿色混在一起。,dà zì rán zhèng chù yú dǐng shèng shí qī ， bǎ yě huā hé shēn qiǎn bù yī de lǜ sè hún zài yī qǐ 。
It lies in a hilly well-wooded landscape above the valley of the small river.,它坐落在一个丘陵地带，树木繁茂，坐落在一条小河的山谷之上。,tā zuò luò zài yī gè qiū líng dì dài ， shù mù fán mào ， zuò luò zài yī tiáo xiǎo hé de shān gǔ zhī shàng 。
The birds saw the little girl who was walking among the trees and flew down to greet her.,小鸟看到了在树林里走的小女孩，飞下来迎接她。,xiǎo niǎo kàn dào le zài shù lín lǐ zǒu de xiǎo nǚ hái ， fēi xià lái yíng jiē tā 。
She glanced down at the bird's nest in her hand.,她低头看了一眼手里的鸟巢。,tā dī tóu kàn le yī yǎn shǒu lǐ de niǎo cháo 。
She studied the berry-like seeds that grew in a cluster at the top of the bush.,她研究了在灌木丛顶部丛生的浆果状种子。,tā yán jiū le zài guàn mù cóng dǐng bù cóng shēng de jiāng guǒ zhuàng zhǒng zǐ 。
"The yard of the super old house was completely covered with plants, rocks, and animals.",这座超旧房子的院子里满是植物、岩石和动物。,zhè zuò chāo jiù fáng zǐ de yuàn zǐ lǐ mǎn shì zhí wù 、 yán shí hé dòng wù 。
There was not a breath of wind to stir the young leaves on the trees.,没有一丝风吹动树上的嫩叶。,méi yǒu yī sī fēng chuī dòng shù shàng de nèn yè 。
"The climate is extremely hot and dry in summer, while the winter temperature is mild and pleasant.",夏天的气候非常炎热和干燥，而冬天的温度是温和和宜人的。,xià tiān de qì hòu fēi cháng yán rè hé gàn zào ， ér dōng tiān de wēn dù shì wēn hé hé yí rén de 。
"When traveling through the countryside you see many inspiring mountains, streams, valleys, and lakes.",当你在乡间旅行时，你会看到许多令人振奋的山脉、溪流、山谷和湖泊。,dāng nǐ zài xiāng jiān lǚ háng shí ， nǐ huì kàn dào xǔ duō lìng rén zhèn fèn de shān mài 、 xī liú 、 shān gǔ hé hú bó 。
It was so close to the sea that those who lived in it could hear the waves forever beating against the shore.,它离大海很近，住在里面的人都能听到海浪永远拍打着海岸的声音。,tā lí dà hǎi hěn jìn ， zhù zài lǐ miàn de rén dōu néng tīng dào hǎi làng yǒng yuǎn pāi dǎ zhe hǎi àn de shēng yīn 。
The island is very picturesque with rolling green hills surrounded by glorious coastal scenery.,岛上风景如画，连绵起伏的青山环绕着壮丽的海岸风光。,dǎo shàng fēng jǐng rú huà ， lián mián qǐ fú de qīng shān huán rào zhe zhuàng lì de hǎi àn fēng guāng 。
The ocean breeze brought that familiar scent back.,海风又把那熟悉的气味吹回来了。,hǎi fēng yòu bǎ nà shú xī de qì wèi chuī huí lái le 。
The warm sun shined on the tall powerful trees and drew out all their fragrance.,温暖的阳光照在高大强壮的树木上，散发出它们的芬芳。,wēn nuǎn de yáng guāng zhào zài gāo dà qiáng zhuàng de shù mù shàng ， sàn fā chū tā mén de fēn fāng 。
It was very pleasant out in the shady woods.,在阴凉的树林里很愉快。,zài yīn liáng de shù lín lǐ hěn yú kuài 。
They were sitting around the fire and trying to keep each other warm.,他们围坐在火旁，互相取暖。,tā mén wéi zuò zài huǒ páng ， hù xiāng qǔ nuǎn 。
She opened her eyes and blinked at the sunlight streaming through the forest.,她睁开眼睛，对穿过森林的阳光眨了眨眼睛。,tā zhēng kāi yǎn jīng ， duì chuān guò sēn lín de yáng guāng zhǎ le zhǎ yǎn jīng 。
An old man decides it's time to get a new rock for his collection.,一位老人决定是时候买一块新的石头作为他的收藏品了。,yī wèi lǎo rén jué dìng shì shí hòu mǎi yī kuài xīn de shí tóu zuò wéi tā de shōu cáng pǐn le 。
"One day in spring, three mén were riding together along a country road.",在春天的一天里，三个人一起骑着马沿着乡间小路走。,zài chūn tiān de yī tiān lǐ ， sān gè rén yī qǐ qí zhe mǎ yán zhe xiāng jiān xiǎo lù zǒu 。
She walked for half an hour until the rain began to trickle through the tree tops.,她走了半个小时，直到雨水开始从树顶滴落下来。,tā zǒu le bàn gè xiǎo shí ， zhí dào yǔ shuǐ kāi shǐ cóng shù dǐng dī luò xià lái 。
The soothing sound of water running over stones greeted them as they neared the creek.,当他们走近小溪时，水从石头上流过的柔和的声音迎接了他们。,dāng tā mén zǒu jìn xiǎo xī shí ， shuǐ cóng shí tóu shàng liú guò de róu hé de shēng yīn yíng jiē le tā mén 。
The old creaking tree spread a blanket of shade in the grass beside the pond.,那棵吱吱作响的老树在池塘边的草地上铺下一层树荫。,nà kē zhī zhī zuò xiǎng de lǎo shù zài chí táng biān de cǎo dì shàng pū xià yī céng shù yīn 。
I love the beautiful spring because the budding trees and the blossoming flowers are so abundant.,我喜欢美丽的春天，因为树木含苞待放，鲜花盛开。,wǒ xǐ huān měi lì de chūn tiān ， yīn wéi shù mù hán bāo dài fàng ， xiān huā shèng kāi 。
"Whenever my aunt comes to visit, she brings some good gifts for my family.",每当我的阿姨来拜访，她都给我的家人带来一些好礼物。,měi dāng wǒ de ā yí lái bài fǎng ， tā dōu gěi wǒ de jiā rén dài lái yī xiē hǎo lǐ wù 。
He took his children far away to a green valley.,他带着他的孩子们去了很远的绿色山谷。,tā dài zhe tā de hái zǐ mén qù le hěn yuǎn de lǜ sè shān gǔ 。
I am pleased because I love the warm sunshine and the fragrant flowers.,我很高兴，因为我喜欢温暖的阳光和芬芳的花朵。,wǒ hěn gāo xìng ， yīn wéi wǒ xǐ huān wēn nuǎn de yáng guāng hé fēn fāng de huā duǒ 。
"After a while, they were riding around the side of a steep hill through tall grass.",过了一会儿，他们在陡峭的山坡上骑着马穿过高高的草丛。,guò le yī huì ér ， tā mén zài dǒu qiào de shān pō shàng qí zhe mǎ chuān guò gāo gāo de cǎo cóng 。
Old meadows provide a home for many colorful plants.,古老的草地为许多五颜六色的植物提供了家园。,gǔ lǎo de cǎo dì wéi xǔ duō wǔ yán liù sè de zhí wù tí gòng le jiā yuán 。
The warm sun had melted most of the snow from the path.,温暖的太阳融化了小路上的大部分雪。,wēn nuǎn de tài yáng róng huà le xiǎo lù shàng de dà bù fēn xuě 。
She glanced back over her shoulder at the huge rock on the hill.,她回头看了一眼山上的大石头。,tā huí tóu kàn le yī yǎn shān shàng de dà shí tóu 。
The sun peeked over the desert horizon to the east.,太阳在东方沙漠的地平线上隐约可见。,tài yáng zài dōng fāng shā mò de dì píng xiàn shàng yǐn yuē kě jiàn 。
Ahead was nothing but a narrow dirt path lined with mature trees and bushes.,前方只有一条狭窄的土路，两旁是成熟的树木和灌木丛。,qián fāng zhī yǒu yī tiáo xiá zhǎi de tǔ lù ， liǎng páng shì chéng shú de shù mù hé guàn mù cóng 。
We shall all live together in a small place near one of the lakes beyond the forest.,我们将一起住在森林那边的一个湖附近的一个小地方。,wǒ mén jiāng yī qǐ zhù zài sēn lín nà biān de yī gè hú fù jìn de yī gè xiǎo dì fāng 。
I took a scenic ride through the ever infinite land.,我在无边无际的大地上作了一次风景优美的旅行。,wǒ zài wú biān wú jì de dà dì shàng zuò le yī cì fēng jǐng yōu měi de lǚ háng 。
He imagined the way the ocean breeze zipped straight into their tent.,他想象海风直接吹进帐篷的样子。,tā xiǎng xiàng hǎi fēng zhí jiē chuī jìn zhàng péng de yàng zǐ 。
"In the evening, we would walk in the yard and catch the grasshoppers and butterflies.",晚上，我们会在院子里散步，捉蚱蜢和蝴蝶。,wǎn shàng ， wǒ mén huì zài yuàn zǐ lǐ sàn bù ， zhuō zha měng hé hú dié 。
The sun set too early on that autumn day.,在那个秋天，太阳落得太早了。,zài nà gè qiū tiān ， tài yáng luò dé tài zǎo le 。
The valleys within the hill ranges are fragrant with aromatic shrubs.,山脉内的山谷里长满了芳香的灌木。,shān mài nèi de shān gǔ lǐ zhǎng mǎn le fāng xiāng de guàn mù 。
He skipped a stone across the pond.,他把一块石头抛过池塘。,tā bǎ yī kuài shí tóu pāo guò chí táng 。
"She glanced up at her friend, who was sitting against a tree watching her.",她抬头看了一眼她的朋友，她的朋友正靠在一棵树上看着她。,tā tái tóu kàn le yī yǎn tā de péng yǒu ， tā de péng yǒu zhèng kào zài yī kē shù shàng kàn zhe tā 。
Have you ever seen a rainbow?,你见过彩虹吗?,nǐ jiàn guò cǎi hóng ma ?
"Yesterday, I had a chance to view a rainbow.",昨天，我有机会看到了彩虹。,zuó tiān ， wǒ yǒu jī huì kàn dào le cǎi hóng 。
The rainbow was far and high but neither thick nor full.,彩虹又高又远，但既不浓也不饱满。,cǎi hóng yòu gāo yòu yuǎn ， dàn jì bù nóng yě bù bǎo mǎn 。
I will be lucky to see a rainbow again.,我很幸运能再次看到彩虹。,wǒ hěn xìng yùn néng zài cì kàn dào cǎi hóng 。
This evening we might see a beautiful double rainbow.,今晚我们可能会看到一道美丽的双彩虹。,jīn wǎn wǒ mén kě néng huì kàn dào yī dào měi lì de shuāng cǎi hóng 。
I heard the animals chewing grass.,我听到动物在吃草。,wǒ tīng dào dòng wù zài chī cǎo 。
I looked at the many birds along the path.,我看着小路上的许多鸟。,wǒ kàn zhe xiǎo lù shàng de xǔ duō niǎo 。
"The birds made short, high pitched sounds.",鸟儿发出又短又高的声音。,niǎo ér fā chū yòu duǎn yòu gāo de shēng yīn 。
I was very tired after the long day deep in the forest.,在森林深处度过了漫长的一天后，我感到非常疲倦。,zài sēn lín shēn chù dù guò le màn cháng de yī tiān hòu ， wǒ gǎn dào fēi cháng pí juàn 。
We did not have enough energy to play games.,我们没有足够的精力玩游戏。,wǒ mén méi yǒu zú gòu de jīng lì wán you xì 。
"Still, we were asked to see how far we could throw these rocks.",尽管如此，我们还是被要求看看我们能把这些石头扔多远。,jìn guǎn rú cǐ ， wǒ mén hái shì bèi yào qiú kàn kàn wǒ mén néng bǎ zhè xiē shí tóu rēng duō yuǎn 。
"He loudly counted one, two, three to start the game.",他大声数一、二、三来开始比赛。,tā dà shēng shù yī 、 èr 、 sān lái kāi shǐ bǐ sài 。
We could dig some soil and build a mountain.,我们可以挖一些土，建一座山。,wǒ mén kě yǐ wā yī xiē tǔ ， jiàn yī zuò shān 。
We even jumped out because it was not very high.,我们甚至跳了出来，因为它不是很高。,wǒ mén shèn zhì tiào le chū lái ， yīn wéi tā bù shì hěn gāo 。
I just felt that we must again go to this forest for another fun time.,我只是觉得我们必须再去这片森林过一段快乐的时光。,wǒ zhī shì jiào dé wǒ mén bì xū zài qù zhè piàn sēn lín guò yī duàn kuài lè de shí guāng 。
It was too late when we came back home.,当我们回到家时已经太晚了。,dāng wǒ mén huí dào jiā shí yǐ jīng tài wǎn le 。
"Later in the calm of the night, when you get a chance.",晚些时候，在宁静的夜晚，当你有机会的时候。,wǎn xiē shí hòu ， zài níng jìng de yè wǎn ， dāng nǐ yǒu jī huì de shí hòu 。
I also saw the moon in the sky.,我还看到了天上的月亮。,wǒ hái kàn dào le tiān shàng de yuè liàng 。
"The stars looked very small, yet they did flicker.",星星看起来很小，但它们确实在闪烁。,xīng xīng kàn qǐ lái hěn xiǎo ， dàn tā mén què shí zài shǎn shuò 。
It's pretty hard to see stars on a cloudy day.,在阴天很难看到星星。,zài yīn tiān hěn nán kàn dào xīng xīng 。
Where did the stars and the moon go?,星星和月亮去了哪里?,xīng xīng hé yuè liàng qù le nǎ lǐ ?
I went to sleep late at night.,我晚上很晚才睡。,wǒ wǎn shàng hěn wǎn cái shuì 。
What a pretty rabbit it is!,多漂亮的兔子啊!,duō piāo liàng de tù zǐ ā !
She hopped out of her burrow.,她从洞里跳了出来。,tā cóng dòng lǐ tiào le chū lái 。
Her eyes look all around eagerly.,她的眼睛急切地环顾四周。,tā de yǎn jīng jí qiē de huán gù sì zhōu 。
She perches on her toes and keeps her ears sharp and steady.,她踮起脚尖，耳朵敏锐而稳定。,tā diǎn qǐ jiǎo jiān ， ěr duǒ mǐn ruì ér wěn dìng 。
"There was a breeze, then the rain followed.",一阵微风吹过，接着下起了雨。,yī zhèn wēi fēng chuī guò ， jiē zhe xià qǐ le yǔ 。
"Like a hunter, she looks around.",她像猎人一样环顾四周。,tā xiàng liè rén yī yàng huán gù sì zhōu 。
She licks her ears and rubs her paws.,她舔了舔耳朵，揉了揉爪子。,tā tiǎn le tiǎn ěr duǒ ， róu le róu zhǎo zǐ 。
Then there seemed to be gold in the rock.,然后岩石里似乎有金子。,rán hòu yán shí lǐ sì hū yǒu jīn zǐ 。
"They do not stop or give up, and instead continue to go ahead.",他们不会停止或放弃，而是继续前进。,tā mén bù huì tíng zhǐ huò fàng qì ， ér shì jì xù qián jìn 。
"Hence, they never stop, going on all day seemingly forever.",因此，他们从未停止，似乎永远地整天进行。,yīn cǐ ， tā mén cóng wèi tíng zhǐ ， sì hū yǒng yuǎn dì zhěng tiān jìn háng 。
The digging in the middle of the tunnel does not stop.,隧道中间的挖掘工作没有停止。,suì dào zhōng jiān de wā jué gōng zuò méi yǒu tíng zhǐ 。
"Even when one rabbit stops to rest, others take over and continue the process.",即使一只兔子停下来休息，其他兔子也会接手并继续这个过程。,jí shǐ yī zhī tù zǐ tíng xià lái xiū xī ， qí tā tù zǐ yě huì jiē shǒu bìng jì xù zhè gè guò chéng 。
"If it rains heavily, how can they continue?",如果下大雨，他们怎么能继续呢?,rú guǒ xià dà yǔ ， tā mén zěn me néng jì xù ne ?
Then they will have to stay home.,然后他们将不得不呆在家里。,rán hòu tā mén jiāng bù dé bù dāi zài jiā lǐ 。
It rains.,天空在下雨。,tiān kōng zài xià yǔ 。
What should I do next?,接下来我该做什么?,jiē xià lái wǒ gāi zuò shén me ?
The day is ending.,这一天快结束了。,zhè yī tiān kuài jié shù le 。
Sun is sinking and the moon is becoming visible.,太阳正在下沉，月亮逐渐可见。,tài yáng zhèng zài xià chén ， yuè liàng zhú jiàn kě jiàn 。
"So, the rabbit has to take shelter and go to sleep.",所以，兔子不得不找个地方躲起来睡觉。,suǒ yǐ ， tù zǐ bù dé bù zhǎo gè dì fāng duǒ qǐ lái shuì jiào 。
It is still so dark.,天还是那么黑。,tiān hái shì nà me hēi 。
I woke up from my sleep to see the next bright day.,我从睡梦中醒来，看到了明天的光明。,wǒ cóng shuì mèng zhōng xǐng lái ， kàn dào le míng tiān de guāng míng 。
I wonder why you hardly ever see that in real life.,我想知道为什么你在现实生活中很少看到这种情况。,wǒ xiǎng zhī dào wéi shén me nǐ zài xiàn shí shēng huó zhōng hěn shǎo kàn dào zhè zhǒng qíng kuàng 。
I told my friends about my dream.,我告诉我的朋友我的梦想。,wǒ gào sù wǒ de péng yǒu wǒ de mèng xiǎng 。
